instructions,categoryA,categoryB,leftAttribute,rightAttribute,orStimulus,trial_type,stimulusText,stimulusImage,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructionsBox.started,instructionsBox.stopped,leftCategoryLabel_2.started,leftCategoryLabel_2.stopped,rightCategoryLabel_2.started,rightCategoryLabel_2.stopped,leftAttributeLabel_2.started,leftAttributeLabel_2.stopped,rightAttributeLabel_2.started,rightAttributeLabel_2.stopped,orLeft_2.started,orLeft_2.stopped,orRight_2.started,orRight_2.stopped,stimulusImageBox.started,stimulusImageBox.stopped,stimulusTextBox.started,stimulusTextBox.stopped,requiredResponse.keys,requiredResponse.corr,requiredResponse.rt,requiredResponse.started,requiredResponse.stopped,feedbackResponse.keys,feedbackResponse.corr,feedbackResponse.started,feedbackResponse.stopped,feedback.started,feedback.stopped,leftCategoryLabel.started,leftCategoryLabel.stopped,rightCategoryLabel.started,rightCategoryLabel.stopped,leftAttributeLabel.started,leftAttributeLabel.stopped,rightAttributeLabel.started,rightAttributeLabel.stopped,orLeft.started,orLeft.stopped,orRight.started,orRight.stopped,feedbackResponse.rt,endBox.started,endBox.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
"Part 1 of 7

Put a left finger on the E key for items that belong to the category on the left.
Put a right finger on the I key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press E or I when you are ready to start.",Black People,White People, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,0,0,0,1,17.386196749983355,None,17.386196749983355,None,17.386196749983355,None,17.386196749983355,None,17.386196749983355,None,17.386196749983355,None,17.386196749983355,None,23.19807858299464,None,23.19807858299464,None,e,1,0.8941994169726968,23.19807858299464,None,None,0,23.19807858299464,None,23.19807858299464,None,22.912179499980994,None,22.912179499980994,None,22.912179499980994,None,22.912179499980994,None,22.912179499980994,None,22.912179499980994,None,,,,F,20,1,2022_Jul_14_1103,IAT,2021.2.3,59.77811880220929,
"Part 1 of 7

Put a left finger on the E key for items that belong to the category on the left.
Put a right finger on the I key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press E or I when you are ready to start.",Black People,White People, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,24.39740641694516,None,24.39740641694516,None,i,1,0.7778733749873936,24.39740641694516,None,None,0,24.39740641694516,None,24.39740641694516,None,24.115906707942486,None,24.115906707942486,None,24.115906707942486,None,24.115906707942486,None,24.115906707942486,None,24.115906707942486,None,,,,F,20,1,2022_Jul_14_1103,IAT,2021.2.3,59.77811880220929,
"Part 1 of 7

Put a left finger on the E key for items that belong to the category on the left.
Put a right finger on the I key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press E or I when you are ready to start.",Black People,White People, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,1,0,2,0,,,,,,,,,,,,,,,25.48079824994784,None,25.48079824994784,None,i,1,0.792896666098386,25.48079824994784,None,None,0,25.48079824994784,None,25.48079824994784,None,25.19693970796652,None,25.19693970796652,None,25.19693970796652,None,25.19693970796652,None,25.19693970796652,None,25.19693970796652,None,,,,F,20,1,2022_Jul_14_1103,IAT,2021.2.3,59.77811880220929,
"Part 1 of 7

Put a left finger on the E key for items that belong to the category on the left.
Put a right finger on the I key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press E or I when you are ready to start.",Black People,White People, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,1,1,3,1,,,,,,,,,,,,,,,26.580840207985602,None,26.580840207985602,None,e,1,0.9588267500512302,26.580840207985602,None,None,0,26.580840207985602,None,26.580840207985602,None,26.301631917012855,None,26.301631917012855,None,26.301631917012855,None,26.301631917012855,None,26.301631917012855,None,26.301631917012855,None,,,,F,20,1,2022_Jul_14_1103,IAT,2021.2.3,59.77811880220929,
"Part 1 of 7

Put a left finger on the E key for items that belong to the category on the left.
Put a right finger on the I key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press E or I when you are ready to start.",Black People,White People, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,2,0,4,1,,,,,,,,,,,,,,,27.84749437496066,None,27.84749437496066,None,e,1,0.5905680829891935,27.84749437496066,None,None,0,27.84749437496066,None,27.84749437496066,None,27.56394416699186,None,27.56394416699186,None,27.56394416699186,None,27.56394416699186,None,27.56394416699186,None,27.56394416699186,None,,,,F,20,1,2022_Jul_14_1103,IAT,2021.2.3,59.77811880220929,
"Part 1 of 7

Put a left finger on the E key for items that belong to the category on the left.
Put a right finger on the I key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press E or I when you are ready to start.",Black People,White People, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,2,1,5,0,,,,,,,,,,,,,,,28.748543167021126,None,28.748543167021126,None,i,1,0.7625163329066709,28.748543167021126,None,None,0,28.748543167021126,None,28.748543167021126,None,28.46528224996291,None,28.46528224996291,None,28.46528224996291,None,28.46528224996291,None,28.46528224996291,None,28.46528224996291,None,,,,F,20,1,2022_Jul_14_1103,IAT,2021.2.3,59.77811880220929,
"Part 1 of 7

Put a left finger on the E key for items that belong to the category on the left.
Put a right finger on the I key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press E or I when you are ready to start.",Black People,White People, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,3,0,6,0,,,,,,,,,,,,,,,29.814199874992482,None,29.814199874992482,None,i,1,0.623574124998413,29.814199874992482,None,None,0,29.814199874992482,None,29.814199874992482,None,29.5306705419207,None,29.5306705419207,None,29.5306705419207,None,29.5306705419207,None,29.5306705419207,None,29.5306705419207,None,,,,F,20,1,2022_Jul_14_1103,IAT,2021.2.3,59.77811880220929,
"Part 1 of 7

Put a left finger on the E key for items that belong to the category on the left.
Put a right finger on the I key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press E or I when you are ready to start.",Black People,White People, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,3,1,7,1,,,,,,,,,,,,,,,30.74745445791632,None,30.74745445791632,None,e,1,0.5876232919981703,30.74745445791632,None,None,0,30.74745445791632,None,30.74745445791632,None,30.465674916980788,None,30.465674916980788,None,30.465674916980788,None,30.465674916980788,None,30.465674916980788,None,30.465674916980788,None,,,,F,20,1,2022_Jul_14_1103,IAT,2021.2.3,59.77811880220929,
"Part 1 of 7

Put a left finger on the E key for items that belong to the category on the left.
Put a right finger on the I key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press E or I when you are ready to start.",Black People,White People, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,4,0,8,0,,,,,,,,,,,,,,,31.647729457938112,None,31.647729457938112,None,i,1,0.490671708015725,31.647729457938112,None,None,0,31.647729457938112,None,31.647729457938112,None,31.36429837497417,None,31.36429837497417,None,31.36429837497417,None,31.36429837497417,None,31.36429837497417,None,31.36429837497417,None,,,,F,20,1,2022_Jul_14_1103,IAT,2021.2.3,59.77811880220929,
"Part 1 of 7

Put a left finger on the E key for items that belong to the category on the left.
Put a right finger on the I key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press E or I when you are ready to start.",Black People,White People, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,4,1,9,0,,,,,,,,,,,,,,,32.44755970791448,None,32.44755970791448,None,i,1,0.9510509169194847,32.44755970791448,None,None,0,32.44755970791448,None,32.44755970791448,None,32.16503512498457,None,32.16503512498457,None,32.16503512498457,None,32.16503512498457,None,32.16503512498457,None,32.16503512498457,None,,,,F,20,1,2022_Jul_14_1103,IAT,2021.2.3,59.77811880220929,
