instructions,categoryA,categoryB,leftAttribute,rightAttribute,orStimulus,trial_type,stimulusText,stimulusImage,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructionsBox.started,instructionsBox.stopped,leftCategoryLabel_2.started,leftCategoryLabel_2.stopped,rightCategoryLabel_2.started,rightCategoryLabel_2.stopped,leftAttributeLabel_2.started,leftAttributeLabel_2.stopped,rightAttributeLabel_2.started,rightAttributeLabel_2.stopped,orLeft_2.started,orLeft_2.stopped,orRight_2.started,orRight_2.stopped,stimulusImageBox.started,stimulusImageBox.stopped,stimulusTextBox.started,stimulusTextBox.stopped,requiredResponse.keys,requiredResponse.corr,requiredResponse.rt,requiredResponse.started,requiredResponse.stopped,feedbackResponse.keys,feedbackResponse.corr,feedbackResponse.started,feedbackResponse.stopped,feedback.started,feedback.stopped,leftCategoryLabel.started,leftCategoryLabel.stopped,rightCategoryLabel.started,rightCategoryLabel.stopped,leftAttributeLabel.started,leftAttributeLabel.stopped,rightAttributeLabel.started,rightAttributeLabel.stopped,orLeft.started,orLeft.stopped,orRight.started,orRight.stopped,feedbackResponse.rt,endBox.started,endBox.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black_People,White_People, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,0,0,0,1,14.457083582994528,None,14.457083582994528,None,14.457083582994528,None,14.457083582994528,None,14.457083582994528,None,14.457083582994528,None,14.457083582994528,None,18.366947750095278,None,18.366947750095278,None,e,1,0.8021835000254214,18.366947750095278,None,None,0,18.366947750095278,None,18.366947750095278,None,18.075897791073658,None,18.075897791073658,None,18.075897791073658,None,18.075897791073658,None,18.075897791073658,None,18.075897791073658,None,,,,F,20,1,2022_Jul_13_1006,IAT,2021.2.3,59.74698659813973,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black_People,White_People, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,19.483870500000194,None,19.483870500000194,None,e,1,0.46402170904912055,19.483870500000194,None,None,0,19.483870500000194,None,19.483870500000194,None,19.205910166027024,None,19.205910166027024,None,19.205910166027024,None,19.205910166027024,None,19.205910166027024,None,19.205910166027024,None,,,,F,20,1,2022_Jul_13_1006,IAT,2021.2.3,59.74698659813973,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black_People,White_People, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,1,0,2,0,,,,,,,,,,,,,,,20.250736040994525,None,20.250736040994525,None,i,1,0.6839618749218062,20.250736040994525,None,None,0,20.250736040994525,None,20.250736040994525,None,19.96681020804681,None,19.96681020804681,None,19.96681020804681,None,19.96681020804681,None,19.96681020804681,None,19.96681020804681,None,,,,F,20,1,2022_Jul_13_1006,IAT,2021.2.3,59.74698659813973,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black_People,White_People, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,1,1,3,1,,,,,,,,,,,,,,,21.250787541037425,None,21.250787541037425,None,e,1,0.5412383750081062,21.250787541037425,None,None,0,21.250787541037425,None,21.250787541037425,None,20.967443333007395,None,20.967443333007395,None,20.967443333007395,None,20.967443333007395,None,20.967443333007395,None,20.967443333007395,None,,,,F,20,1,2022_Jul_13_1006,IAT,2021.2.3,59.74698659813973,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black_People,White_People, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,2,0,4,0,,,,,,,,,,,,,,,22.100611583096907,None,22.100611583096907,None,i,1,0.5557126249186695,22.100611583096907,None,None,0,22.100611583096907,None,22.100611583096907,None,21.816883207997307,None,21.816883207997307,None,21.816883207997307,None,21.816883207997307,None,21.816883207997307,None,21.816883207997307,None,,,,F,20,1,2022_Jul_13_1006,IAT,2021.2.3,59.74698659813973,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black_People,White_People, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,2,1,5,1,,,,,,,,,,,,,,,22.96815745800268,None,22.96815745800268,None,e,1,0.5651183750014752,22.96815745800268,None,None,0,22.96815745800268,None,22.96815745800268,None,22.683795583085157,None,22.683795583085157,None,22.683795583085157,None,22.683795583085157,None,22.683795583085157,None,22.683795583085157,None,,,,F,20,1,2022_Jul_13_1006,IAT,2021.2.3,59.74698659813973,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black_People,White_People, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,3,0,6,0,,,,,,,,,,,,,,,23.834993250085972,None,23.834993250085972,None,i,1,0.5284681250341237,23.834993250085972,None,None,0,23.834993250085972,None,23.834993250085972,None,23.549926041043364,None,23.549926041043364,None,23.549926041043364,None,23.549926041043364,None,23.549926041043364,None,23.549926041043364,None,,,,F,20,1,2022_Jul_13_1006,IAT,2021.2.3,59.74698659813973,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black_People,White_People, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,3,1,7,1,,,,,,,,,,,,,,,24.667578708031215,None,24.667578708031215,None,e,1,0.5237427919637412,24.667578708031215,None,None,0,24.667578708031215,None,24.667578708031215,None,24.38378187501803,None,24.38378187501803,None,24.38378187501803,None,24.38378187501803,None,24.38378187501803,None,24.38378187501803,None,,,,F,20,1,2022_Jul_13_1006,IAT,2021.2.3,59.74698659813973,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black_People,White_People, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,4,0,8,1,,,,,,,,,,,,,,,25.501398875028826,None,25.501398875028826,None,e,1,0.5827419590204954,25.501398875028826,None,None,0,25.501398875028826,None,25.501398875028826,None,25.2168150000507,None,25.2168150000507,None,25.2168150000507,None,25.2168150000507,None,25.2168150000507,None,25.2168150000507,None,,,,F,20,1,2022_Jul_13_1006,IAT,2021.2.3,59.74698659813973,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black_People,White_People, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,4,1,9,0,,,,,,,,,,,,,,,26.400803541066125,None,26.400803541066125,None,i,1,0.6760089999297634,26.400803541066125,None,e,1,26.400803541066125,None,26.400803541066125,None,26.116954375058413,None,26.116954375058413,None,26.116954375058413,None,26.116954375058413,None,26.116954375058413,None,26.116954375058413,None,0.38548929104581475,,,F,20,1,2022_Jul_13_1006,IAT,2021.2.3,59.74698659813973,
