instructions,categoryA,categoryB,leftAttribute,rightAttribute,orStimulus,trial_type,stimulusText,stimulusImage,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructionsBox.started,instructionsBox.stopped,leftCategoryLabel_2.started,leftCategoryLabel_2.stopped,rightCategoryLabel_2.started,rightCategoryLabel_2.stopped,leftAttributeLabel_2.started,leftAttributeLabel_2.stopped,rightAttributeLabel_2.started,rightAttributeLabel_2.stopped,orLeft_2.started,orLeft_2.stopped,orRight_2.started,orRight_2.stopped,stimulusImageBox.started,stimulusImageBox.stopped,stimulusTextBox.started,stimulusTextBox.stopped,requiredResponse.keys,requiredResponse.corr,requiredResponse.rt,requiredResponse.started,requiredResponse.stopped,feedbackResponse.keys,feedbackResponse.corr,feedbackResponse.started,feedbackResponse.stopped,feedback.started,feedback.stopped,leftCategoryLabel.started,leftCategoryLabel.stopped,rightCategoryLabel.started,rightCategoryLabel.stopped,leftAttributeLabel.started,leftAttributeLabel.stopped,rightAttributeLabel.started,rightAttributeLabel.stopped,orLeft.started,orLeft.stopped,orRight.started,orRight.stopped,feedbackResponse.rt,gender,age,participant,date,expName,psychopyVersion,frameRate,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,0,0,0,0,18.208750499994494,None,18.208750499994494,None,18.208750499994494,None,18.208750499994494,None,18.208750499994494,None,18.208750499994494,None,18.208750499994494,None,20.818477540975437,None,20.818477540975437,None,i,1,1.8711765001062304,20.818477540975437,None,None,0,20.818477540975437,None,20.818477540975437,None,20.521525708027184,None,20.521525708027184,None,20.521525708027184,None,20.521525708027184,None,20.521525708027184,None,20.521525708027184,None,,F,20,1,2022_Jul_13_1219,IAT,2021.2.3,60.06300619567702,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,23.002167333033867,None,23.002167333033867,None,i,1,0.7332552499137819,23.002167333033867,None,None,0,23.002167333033867,None,23.002167333033867,None,22.72495237493422,None,22.72495237493422,None,22.72495237493422,None,22.72495237493422,None,22.72495237493422,None,22.72495237493422,None,,F,20,1,2022_Jul_13_1219,IAT,2021.2.3,60.06300619567702,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,1,0,2,1,,,,,,,,,,,,,,,24.053202125011012,None,24.053202125011012,None,e,1,0.523680750047788,24.053202125011012,None,i,1,24.053202125011012,None,24.053202125011012,None,23.768632291001268,None,23.768632291001268,None,23.768632291001268,None,23.768632291001268,None,23.768632291001268,None,23.768632291001268,None,0.2860417920164764,F,20,1,2022_Jul_13_1219,IAT,2021.2.3,60.06300619567702,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,1,1,3,1,,,,,,,,,,,,,,,24.885280790971592,None,24.885280790971592,None,e,1,0.37722741696052253,24.885280790971592,None,None,0,24.885280790971592,None,24.885280790971592,None,24.60161062492989,None,24.60161062492989,None,24.60161062492989,None,24.60161062492989,None,24.60161062492989,None,24.60161062492989,None,,F,20,1,2022_Jul_13_1219,IAT,2021.2.3,60.06300619567702,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,2,0,4,1,,,,,,,,,,,,,,,25.567839707946405,None,25.567839707946405,None,e,1,0.4065517500275746,25.567839707946405,None,None,0,25.567839707946405,None,25.567839707946405,None,25.285013040993363,None,25.285013040993363,None,25.285013040993363,None,25.285013040993363,None,25.285013040993363,None,25.285013040993363,None,,F,20,1,2022_Jul_13_1219,IAT,2021.2.3,60.06300619567702,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,2,1,5,1,,,,,,,,,,,,,,,26.28540495794732,None,26.28540495794732,None,e,1,0.3441918329335749,26.28540495794732,None,None,0,26.28540495794732,None,26.28540495794732,None,26.001745290937833,None,26.001745290937833,None,26.001745290937833,None,26.001745290937833,None,26.001745290937833,None,26.001745290937833,None,,F,20,1,2022_Jul_13_1219,IAT,2021.2.3,60.06300619567702,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,3,0,6,0,,,,,,,,,,,,,,,26.935497790924273,None,26.935497790924273,None,i,1,0.604478916968219,26.935497790924273,None,e,1,26.935497790924273,None,26.935497790924273,None,26.65274887497071,None,26.65274887497071,None,26.65274887497071,None,26.65274887497071,None,26.65274887497071,None,26.65274887497071,None,0.35228416603058577,F,20,1,2022_Jul_13_1219,IAT,2021.2.3,60.06300619567702,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,3,1,7,0,,,,,,,,,,,,,,,27.852249082992785,None,27.852249082992785,None,i,1,0.3151032079476863,27.852249082992785,None,None,0,27.852249082992785,None,27.852249082992785,None,27.56867325003259,None,27.56867325003259,None,27.56867325003259,None,27.56867325003259,None,27.56867325003259,None,27.56867325003259,None,,F,20,1,2022_Jul_13_1219,IAT,2021.2.3,60.06300619567702,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,4,0,8,1,,,,,,,,,,,,,,,28.46898066601716,None,28.46898066601716,None,e,1,0.5423306250013411,28.46898066601716,None,i,1,28.46898066601716,None,28.46898066601716,None,28.18539079092443,None,28.18539079092443,None,28.18539079092443,None,28.18539079092443,None,28.18539079092443,None,28.18539079092443,None,0.2941855000099167,F,20,1,2022_Jul_13_1219,IAT,2021.2.3,60.06300619567702,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,4,1,9,1,,,,,,,,,,,,,,,29.31888470798731,None,29.31888470798731,None,e,1,0.2761859999736771,29.31888470798731,None,None,0,29.31888470798731,None,29.31888470798731,None,29.03520241600927,None,29.03520241600927,None,29.03520241600927,None,29.03520241600927,None,29.03520241600927,None,29.03520241600927,None,,F,20,1,2022_Jul_13_1219,IAT,2021.2.3,60.06300619567702,
