instructions,categoryA,categoryB,leftAttribute,rightAttribute,orStimulus,trial_type,stimulusText,stimulusImage,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructionsBox.started,instructionsBox.stopped,leftCategoryLabel_2.started,leftCategoryLabel_2.stopped,rightCategoryLabel_2.started,rightCategoryLabel_2.stopped,leftAttributeLabel_2.started,leftAttributeLabel_2.stopped,rightAttributeLabel_2.started,rightAttributeLabel_2.stopped,orLeft_2.started,orLeft_2.stopped,orRight_2.started,orRight_2.stopped,stimulusImageBox.started,stimulusImageBox.stopped,stimulusTextBox.started,stimulusTextBox.stopped,requiredResponse.keys,requiredResponse.corr,requiredResponse.rt,requiredResponse.started,requiredResponse.stopped,feedbackResponse.keys,feedbackResponse.corr,feedbackResponse.started,feedbackResponse.stopped,feedback.started,feedback.stopped,leftCategoryLabel.started,leftCategoryLabel.stopped,rightCategoryLabel.started,rightCategoryLabel.stopped,leftAttributeLabel.started,leftAttributeLabel.stopped,rightAttributeLabel.started,rightAttributeLabel.stopped,orLeft.started,orLeft.stopped,orRight.started,orRight.stopped,feedbackResponse.rt,endBox.started,endBox.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Insects,Flowers, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,0,0,0,1,12.924701625015587,None,12.924701625015587,None,12.924701625015587,None,12.924701625015587,None,12.924701625015587,None,12.924701625015587,None,12.924701625015587,None,41.74866591600585,None,41.74866591600585,None,e,1,1.392933916009497,41.74866591600585,None,None,0,41.74866591600585,None,41.74866591600585,None,41.45449258299777,None,41.45449258299777,None,41.45449258299777,None,41.45449258299777,None,41.45449258299777,None,41.45449258299777,None,,,,F,20,1,2022_Jun_30_1027,IAT,2021.2.3,59.73571414581785,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Insects,Flowers, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,43.44617050001398,None,43.44617050001398,None,e,1,0.5421189159969799,43.44617050001398,None,None,0,43.44617050001398,None,43.44617050001398,None,43.169208375009475,None,43.169208375009475,None,43.169208375009475,None,43.169208375009475,None,43.169208375009475,None,43.169208375009475,None,,,,F,20,1,2022_Jun_30_1027,IAT,2021.2.3,59.73571414581785,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Insects,Flowers, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,1,0,2,1,,,,,,,,,,,,,,,44.29606070800219,None,44.29606070800219,None,e,1,0.6414519580139313,44.29606070800219,None,None,0,44.29606070800219,None,44.29606070800219,None,44.01245620800182,None,44.01245620800182,None,44.01245620800182,None,44.01245620800182,None,44.01245620800182,None,44.01245620800182,None,,,,F,20,1,2022_Jun_30_1027,IAT,2021.2.3,59.73571414581785,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Insects,Flowers, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,1,1,3,0,,,,,,,,,,,,,,,45.24596866601496,None,45.24596866601496,None,i,1,0.7173595830099657,45.24596866601496,None,None,0,45.24596866601496,None,45.24596866601496,None,44.962617915996816,None,44.962617915996816,None,44.962617915996816,None,44.962617915996816,None,44.962617915996816,None,44.962617915996816,None,,,,F,20,1,2022_Jun_30_1027,IAT,2021.2.3,59.73571414581785,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Insects,Flowers, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,2,0,4,1,,,,,,,,,,,,,,,46.28013004100649,None,46.28013004100649,None,e,1,0.5060465410060715,46.28013004100649,None,None,0,46.28013004100649,None,46.28013004100649,None,45.99616129099741,None,45.99616129099741,None,45.99616129099741,None,45.99616129099741,None,45.99616129099741,None,45.99616129099741,None,,,,F,20,1,2022_Jun_30_1027,IAT,2021.2.3,59.73571414581785,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Insects,Flowers, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,2,1,5,1,,,,,,,,,,,,,,,47.09615070800646,None,47.09615070800646,None,e,1,0.7430743740114849,47.09615070800646,None,None,0,47.09615070800646,None,47.09615070800646,None,46.81240287501714,None,46.81240287501714,None,46.81240287501714,None,46.81240287501714,None,46.81240287501714,None,46.81240287501714,None,,,,F,20,1,2022_Jun_30_1027,IAT,2021.2.3,59.73571414581785,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Insects,Flowers, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,3,0,6,0,,,,,,,,,,,,,,,48.145784125023056,None,48.145784125023056,None,i,1,0.6965443740191404,48.145784125023056,None,None,0,48.145784125023056,None,48.145784125023056,None,47.862518916022964,None,47.862518916022964,None,47.862518916022964,None,47.862518916022964,None,47.862518916022964,None,47.862518916022964,None,,,,F,20,1,2022_Jun_30_1027,IAT,2021.2.3,59.73571414581785,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Insects,Flowers, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,3,1,7,1,,,,,,,,,,,,,,,49.145941041002516,None,49.145941041002516,None,e,1,0.4565178740012925,49.145941041002516,None,None,0,49.145941041002516,None,49.145941041002516,None,48.862432249996345,None,48.862432249996345,None,48.862432249996345,None,48.862432249996345,None,48.862432249996345,None,48.862432249996345,None,,,,F,20,1,2022_Jun_30_1027,IAT,2021.2.3,59.73571414581785,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Insects,Flowers, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,4,0,8,0,,,,,,,,,,,,,,,49.91249441599939,None,49.91249441599939,None,i,1,0.664976123982342,49.91249441599939,None,None,0,49.91249441599939,None,49.91249441599939,None,49.6290503750206,None,49.6290503750206,None,49.6290503750206,None,49.6290503750206,None,49.6290503750206,None,49.6290503750206,None,,,,F,20,1,2022_Jun_30_1027,IAT,2021.2.3,59.73571414581785,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Insects,Flowers, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,4,1,9,0,,,,,,,,,,,,,,,50.879804875003174,None,50.879804875003174,None,i,1,1.5785485829983372,50.879804875003174,None,None,0,50.879804875003174,None,50.879804875003174,None,50.59580629100674,None,50.59580629100674,None,50.59580629100674,None,50.59580629100674,None,50.59580629100674,None,50.59580629100674,None,,,,F,20,1,2022_Jun_30_1027,IAT,2021.2.3,59.73571414581785,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Insects,Flowers, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,5,0,10,0,,,,,,,,,,,,,,,52.76308095801505,None,52.76308095801505,None,i,1,0.5063257080037147,52.76308095801505,None,None,0,52.76308095801505,None,52.76308095801505,None,52.479248125018785,None,52.479248125018785,None,52.479248125018785,None,52.479248125018785,None,52.479248125018785,None,52.479248125018785,None,,,,F,20,1,2022_Jun_30_1027,IAT,2021.2.3,59.73571414581785,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Insects,Flowers, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,5,1,11,0,,,,,,,,,,,,,,,53.57995820802171,None,53.57995820802171,None,i,1,0.3988317910116166,53.57995820802171,None,None,0,53.57995820802171,None,53.57995820802171,None,53.2961100829998,None,53.2961100829998,None,53.2961100829998,None,53.2961100829998,None,53.2961100829998,None,53.2961100829998,None,,,,F,20,1,2022_Jun_30_1027,IAT,2021.2.3,59.73571414581785,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Insects,Flowers, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,6,0,12,0,,,,,,,,,,,,,,,54.27961991602206,None,54.27961991602206,None,i,1,0.4735671659873333,54.27961991602206,None,None,0,54.27961991602206,None,54.27961991602206,None,53.996061790996464,None,53.996061790996464,None,53.996061790996464,None,53.996061790996464,None,53.996061790996464,None,53.996061790996464,None,,,,F,20,1,2022_Jun_30_1027,IAT,2021.2.3,59.73571414581785,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Insects,Flowers, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,6,1,13,1,,,,,,,,,,,,,,,55.063132041017525,None,55.063132041017525,None,e,1,0.47181074900436215,55.063132041017525,None,None,0,55.063132041017525,None,55.063132041017525,None,54.779298166016815,None,54.779298166016815,None,54.779298166016815,None,54.779298166016815,None,54.779298166016815,None,54.779298166016815,None,,,,F,20,1,2022_Jun_30_1027,IAT,2021.2.3,59.73571414581785,
