instructions,categoryA,categoryB,leftAttribute,rightAttribute,orStimulus,trial_type,stimulusText,stimulusImage,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructionsBox.started,instructionsBox.stopped,leftCategoryLabel_2.started,leftCategoryLabel_2.stopped,rightCategoryLabel_2.started,rightCategoryLabel_2.stopped,leftAttributeLabel_2.started,leftAttributeLabel_2.stopped,rightAttributeLabel_2.started,rightAttributeLabel_2.stopped,orLeft_2.started,orLeft_2.stopped,orRight_2.started,orRight_2.stopped,stimulusImageBox.started,stimulusImageBox.stopped,stimulusTextBox.started,stimulusTextBox.stopped,requiredResponse.keys,requiredResponse.corr,requiredResponse.rt,requiredResponse.started,requiredResponse.stopped,feedbackResponse.keys,feedbackResponse.corr,feedbackResponse.started,feedbackResponse.stopped,feedback.started,feedback.stopped,leftCategoryLabel.started,leftCategoryLabel.stopped,rightCategoryLabel.started,rightCategoryLabel.stopped,leftAttributeLabel.started,leftAttributeLabel.stopped,rightAttributeLabel.started,rightAttributeLabel.stopped,orLeft.started,orLeft.stopped,orRight.started,orRight.stopped,feedbackResponse.rt,gender,age,participant,date,expName,psychopyVersion,frameRate,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Insects,Flowers, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,0,0,0,1,16.406116250000196,None,16.406116250000196,None,16.406116250000196,None,16.406116250000196,None,16.406116250000196,None,16.406116250000196,None,16.406116250000196,None,24.777695459022652,None,24.777695459022652,None,i,1,2.7529362910136115,24.777695459022652,None,None,0,24.777695459022652,None,24.777695459022652,None,24.484668792021694,None,24.484668792021694,None,24.484668792021694,None,24.484668792021694,None,24.484668792021694,None,24.484668792021694,None,,F,20,2,2022_Jun_30_1040,IAT,2021.2.3,59.846881872240836,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Insects,Flowers, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,27.84217504199478,None,27.84217504199478,None,e,1,1.5512654159974772,27.84217504199478,None,None,0,27.84217504199478,None,27.84217504199478,None,27.560116375010693,None,27.560116375010693,None,27.560116375010693,None,27.560116375010693,None,27.560116375010693,None,27.560116375010693,None,,F,20,2,2022_Jun_30_1040,IAT,2021.2.3,59.846881872240836,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Insects,Flowers, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,1,0,2,1,,,,,,,,,,,,,,,29.70923654199578,None,29.70923654199578,None,i,1,0.7140777070017066,29.70923654199578,None,None,0,29.70923654199578,None,29.70923654199578,None,29.42694679199485,None,29.42694679199485,None,29.42694679199485,None,29.42694679199485,None,29.42694679199485,None,29.42694679199485,None,,F,20,2,2022_Jun_30_1040,IAT,2021.2.3,59.846881872240836,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Insects,Flowers, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,1,1,3,0,,,,,,,,,,,,,,,30.724713792005787,None,30.724713792005787,None,e,1,0.756398248980986,30.724713792005787,None,None,0,30.724713792005787,None,30.724713792005787,None,30.44524279201869,None,30.44524279201869,None,30.44524279201869,None,30.44524279201869,None,30.44524279201869,None,30.44524279201869,None,,F,20,2,2022_Jun_30_1040,IAT,2021.2.3,59.846881872240836,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Insects,Flowers, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,2,0,4,1,,,,,,,,,,,,,,,31.7949513750209,None,31.7949513750209,None,i,1,3.5276148329721764,31.7949513750209,None,None,0,31.7949513750209,None,31.7949513750209,None,31.508614584017778,None,31.508614584017778,None,31.508614584017778,None,31.508614584017778,None,31.508614584017778,None,31.508614584017778,None,,F,20,2,2022_Jun_30_1040,IAT,2021.2.3,59.846881872240836,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Insects,Flowers, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,2,1,5,0,,,,,,,,,,,,,,,35.62477162500727,None,35.62477162500727,None,e,1,0.9077047079917975,35.62477162500727,None,None,0,35.62477162500727,None,35.62477162500727,None,35.34602087500389,None,35.34602087500389,None,35.34602087500389,None,35.34602087500389,None,35.34602087500389,None,35.34602087500389,None,,F,20,2,2022_Jun_30_1040,IAT,2021.2.3,59.846881872240836,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Insects,Flowers, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,3,0,6,1,,,,,,,,,,,,,,,36.84146708401386,None,36.84146708401386,None,i,1,1.7040186249942053,36.84146708401386,None,None,0,36.84146708401386,None,36.84146708401386,None,36.562361792020965,None,36.562361792020965,None,36.562361792020965,None,36.562361792020965,None,36.562361792020965,None,36.562361792020965,None,,F,20,2,2022_Jun_30_1040,IAT,2021.2.3,59.846881872240836,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Insects,Flowers, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,3,1,7,1,,,,,,,,,,,,,,,38.85894683402148,None,38.85894683402148,None,i,1,1.516156832978595,38.85894683402148,None,None,0,38.85894683402148,None,38.85894683402148,None,38.58961766702123,None,38.58961766702123,None,38.58961766702123,None,38.58961766702123,None,38.58961766702123,None,38.58961766702123,None,,F,20,2,2022_Jun_30_1040,IAT,2021.2.3,59.846881872240836,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Insects,Flowers, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,4,0,8,1,,,,,,,,,,,,,,,40.67679791699629,None,40.67679791699629,None,i,1,0.5456407500023488,40.67679791699629,None,None,0,40.67679791699629,None,40.67679791699629,None,40.39594983399729,None,40.39594983399729,None,40.39594983399729,None,40.39594983399729,None,40.39594983399729,None,40.39594983399729,None,,F,20,2,2022_Jun_30_1040,IAT,2021.2.3,59.846881872240836,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Insects,Flowers, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,4,1,9,0,,,,,,,,,,,,,,,41.52499550001812,None,41.52499550001812,None,e,1,1.1112852079968434,41.52499550001812,None,None,0,41.52499550001812,None,41.52499550001812,None,41.24265845899936,None,41.24265845899936,None,41.24265845899936,None,41.24265845899936,None,41.24265845899936,None,41.24265845899936,None,,F,20,2,2022_Jun_30_1040,IAT,2021.2.3,59.846881872240836,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Insects,Flowers, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,5,0,10,1,,,,,,,,,,,,,,,42.94227412500186,None,42.94227412500186,None,i,1,4.178304498986108,42.94227412500186,None,e,1,42.94227412500186,None,42.94227412500186,None,42.66209033402265,None,42.66209033402265,None,42.66209033402265,None,42.66209033402265,None,42.66209033402265,None,42.66209033402265,None,1.2863005410181358,F,20,2,2022_Jun_30_1040,IAT,2021.2.3,59.846881872240836,
